"","DriverGender","DriverMaritalStatus","DriverAge","Fault","VehicleCategory","VehiclePrice","FraudFound","Deductible","DaysPolicyAccident","DaysPolicyClaim","PastNumberOfClaims","AgeOfVehicle","PoliceReportFiled","WitnessPresent","AgentType","NumberOfSuppliments","NumberOfCars","IncidentYear","BasePolicy","VehOrigin"
"6201","Male","Single",27,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1994","All Perils","USA"
"6204","Female","Married",59,"Policy Holder","Sport","30000 to 39000",0,"700","more than 30","more than 30","more than 4","more than 7","No","No","External","none","3 to 4","1995","Liability","USA"
"6207","Male","Married",32,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1995","Collision","USA"
"6208","Female","Single",33,"Policy Holder","Sedan","20000 to 29000",1,"400","more than 30","more than 30","none","5 years","No","No","External","none","3 to 4","1996","Collision","USA"
"6209","Male","Married",41,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","more than 5","1 vehicle","1994","Collision","USA"
"6211","Male","Married",70,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","none","1 vehicle","1996","Collision","USA"
"6213","Male","Married",69,"Policy Holder","Sedan","20000 to 29000",1,"500","more than 30","more than 30","2 to 4","7 years","No","No","External","more than 5","1 vehicle","1995","All Perils","USA"
"6214","Male","Married",30,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","more than 4","6 years","Yes","No","External","none","1 vehicle","1995","Collision","USA"
"6215","Male","Single",22,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","5 years","No","No","External","1 to 2","1 vehicle","1995","Liability","USA"
"6216","Male","Married",31,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","6 years","No","No","External","1 to 2","2 vehicles","1994","Collision","USA"
"6217","Male","Single",48,"Third Party","Utility","more than 69000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","1 to 2","1 vehicle","1994","All Perils","USA"
"6218","Male","Married",72,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","more than 5","1 vehicle","1994","All Perils","USA"
"6219","Male","Married",29,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","5 years","No","No","External","none","1 vehicle","1994","Collision","USA"
"6222","Male","Single",46,"Third Party","Sedan","30000 to 39000",0,"500","more than 30","more than 30","more than 4","more than 7","No","No","External","none","1 vehicle","1994","Collision","USA"
"6223","Male","Married",46,"Policy Holder","Utility","40000 to 59000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1995","All Perils","USA"
"6224","Female","Married",45,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1995","Liability","USA"
"6225","Male","Married",45,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","3 to 5","1 vehicle","1994","All Perils","USA"
"6228","Male","Single",34,"Policy Holder","Sport","20000 to 29000",0,"700","more than 30","more than 30","more than 4","7 years","No","No","External","none","1 vehicle","1995","Liability","USA"
"6230","Male","Married",44,"Policy Holder","Sedan","20000 to 29000",1,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","3 to 5","1 vehicle","1996","Collision","USA"
"6231","Male","Married",48,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1995","Liability","USA"
"6234","Male","Married",42,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","1","7 years","No","No","External","more than 5","1 vehicle","1994","Collision","USA"
"6235","Female","Single",28,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","6 years","No","No","External","none","1 vehicle","1994","Liability","USA"
"6236","Female","Single",31,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","7 years","No","No","External","none","1 vehicle","1995","Collision","USA"
"6237","Male","Married",26,"Policy Holder","Sedan","less than 20000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","none","1 vehicle","1996","All Perils","USA"
"6238","Male","Single",31,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","3 to 5","1 vehicle","1996","Collision","USA"
"6240","Male","Married",63,"Third Party","Sedan","less than 20000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","none","1 vehicle","1994","All Perils","USA"
"6242","Male","Single",34,"Policy Holder","Sedan","less than 20000",0,"400","8 to 15","15 to 30","1","5 years","No","No","External","none","1 vehicle","1994","All Perils","USA"
"6243","Male","Married",39,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","7 years","No","No","External","more than 5","1 vehicle","1995","All Perils","USA"
"6245","Male","Married",32,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","1 to 2","1 vehicle","1995","Liability","USA"
"6246","Male","Married",49,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","more than 5","1 vehicle","1995","Collision","USA"
"6247","Male","Divorced",37,"Policy Holder","Sport","less than 20000",0,"400","more than 30","more than 30","1","7 years","No","No","External","none","1 vehicle","1994","Liability","USA"
"6248","Male","Single",39,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","none","1 vehicle","1996","Collision","USA"
"6251","Male","Single",29,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","3 to 5","1 vehicle","1994","Liability","USA"
"6252","Male","Married",47,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","none","1 vehicle","1996","Collision","USA"
"6253","Male","Married",55,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","none","2 vehicles","1995","All Perils","USA"
"6254","Male","Married",36,"Third Party","Sedan","less than 20000",0,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1996","All Perils","USA"
"6257","Male","Married",58,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","more than 5","1 vehicle","1994","Collision","USA"
"6258","Male","Married",31,"Policy Holder","Sport","less than 20000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1996","Liability","USA"
"6260","Male","Single",29,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","more than 5","1 vehicle","1995","All Perils","USA"
"6262","Male","Married",27,"Policy Holder","Sedan","more than 69000",1,"400","more than 30","more than 30","2 to 4","4 years","No","No","External","1 to 2","1 vehicle","1994","Collision","USA"
"6263","Male","Married",38,"Policy Holder","Sedan","20000 to 29000",0,"700","more than 30","more than 30","1","7 years","No","No","External","none","1 vehicle","1994","All Perils","USA"
"6265","Male","Married",37,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","1 to 2","1 vehicle","1994","All Perils","USA"
"6266","Male","Married",50,"Policy Holder","Sedan","less than 20000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","none","1 vehicle","1995","Collision","USA"
"6267","Male","Married",38,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1996","Collision","USA"
"6268","Male","Married",65,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","none","1 vehicle","1995","Liability","USA"
"6269","Male","Married",32,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","6 years","No","No","External","none","1 vehicle","1994","Liability","USA"
"6270","Male","Married",55,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","none","1 vehicle","1995","All Perils","USA"
"6271","Male","Married",45,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","6 years","No","No","External","1 to 2","3 to 4","1994","Collision","USA"
"6277","Female","Married",34,"Third Party","Sport","more than 69000",0,"400","more than 30","more than 30","none","2 years","No","No","External","more than 5","1 vehicle","1995","Liability","USA"
"6278","Male","Married",54,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","6 years","No","No","External","more than 5","1 vehicle","1995","All Perils","USA"
"6279","Male","Married",35,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","3 to 5","1 vehicle","1995","Collision","USA"
"6280","Male","Married",42,"Third Party","Sedan","less than 20000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","more than 5","1 vehicle","1994","Collision","USA"
"6281","Male","Married",55,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","3 to 5","1 vehicle","1996","Collision","USA"
"6282","Female","Single",29,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","none","2 vehicles","1995","Collision","USA"
"6283","Male","Married",62,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","more than 5","1 vehicle","1994","Collision","USA"
"6284","Male","Single",30,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1994","Collision","USA"
"6285","Male","Married",47,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","none","1 vehicle","1995","Collision","USA"
"6289","Male","Married",62,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","1 to 2","3 to 4","1996","Collision","USA"
"6290","Male","Single",30,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","6 years","No","No","External","none","1 vehicle","1996","Collision","USA"
"6291","Male","Married",51,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1995","Liability","USA"
"6293","Male","Married",58,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","3 to 5","1 vehicle","1994","All Perils","USA"
"6294","Male","Married",47,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","1 to 2","1 vehicle","1996","Liability","USA"
"6295","Male","Married",42,"Third Party","Sedan","less than 20000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","3 to 5","2 vehicles","1994","Collision","USA"
"6296","Female","Divorced",44,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","more than 5","1 vehicle","1994","All Perils","USA"
"6297","Female","Single",40,"Policy Holder","Sport","30000 to 39000",0,"400","8 to 15","15 to 30","none","3 years","No","No","External","none","1 vehicle","1994","Liability","USA"
"6298","Male","Married",59,"Policy Holder","Sedan","less than 20000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","none","1 vehicle","1994","All Perils","USA"
"6299","Female","Married",54,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","more than 5","2 vehicles","1994","Collision","USA"
"6300","Male","Single",27,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","more than 5","2 vehicles","1994","Liability","USA"
"6302","Male","Married",38,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","1","7 years","No","No","External","1 to 2","1 vehicle","1994","Liability","USA"
"6303","Male","Married",49,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","3 to 5","1 vehicle","1996","Liability","USA"
"6305","Male","Single",31,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","Yes","No","External","3 to 5","1 vehicle","1994","Collision","USA"
"6306","Male","Married",75,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","more than 7","Yes","No","External","1 to 2","1 vehicle","1994","All Perils","USA"
"6307","Male","Married",32,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","1","7 years","No","Yes","External","more than 5","1 vehicle","1994","Collision","USA"
"6308","Male","Married",29,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","7 years","No","No","External","1 to 2","2 vehicles","1996","Collision","USA"
"6310","Female","Married",38,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1996","Liability","USA"
"6311","Male","Single",22,"Policy Holder","Sedan","less than 20000",1,"400","more than 30","more than 30","2 to 4","5 years","Yes","No","External","more than 5","1 vehicle","1996","All Perils","USA"
"6312","Male","Married",33,"Policy Holder","Sedan","less than 20000",1,"400","more than 30","more than 30","1","6 years","No","No","External","none","1 vehicle","1994","All Perils","USA"
"6313","Male","Married",79,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","more than 5","1 vehicle","1996","Collision","USA"
"6314","Male","Married",52,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","Internal","more than 5","1 vehicle","1996","Liability","USA"
"6316","Female","Single",44,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","6 years","No","No","External","none","1 vehicle","1995","All Perils","USA"
"6317","Male","Single",35,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","6 years","No","No","External","none","1 vehicle","1996","Liability","USA"
"6318","Female","Married",27,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","1","6 years","No","No","External","more than 5","1 vehicle","1995","Collision","USA"
"6319","Male","Married",38,"Third Party","Utility","40000 to 59000",0,"400","more than 30","more than 30","1","7 years","No","No","External","none","1 vehicle","1994","All Perils","USA"
"6320","Male","Married",53,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","more than 5","1 vehicle","1994","Collision","USA"
"6322","Male","Single",23,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","1","5 years","No","No","External","none","1 vehicle","1994","All Perils","USA"
"6323","Male","Single",32,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","1 to 2","1 vehicle","1995","Liability","USA"
"6324","Male","Married",56,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","none","1 vehicle","1995","Collision","USA"
"6325","Male","Married",34,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","7 years","No","No","External","more than 5","3 to 4","1995","Collision","USA"
"6326","Male","Married",47,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","more than 5","1 vehicle","1995","Liability","USA"
"6327","Female","Married",26,"Third Party","Sedan","less than 20000",0,"400","more than 30","more than 30","none","5 years","No","No","External","none","1 vehicle","1995","Collision","USA"
"6328","Male","Married",44,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","none","1 vehicle","1995","All Perils","USA"
"6330","Male","Married",51,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","1 to 2","1 vehicle","1994","Liability","USA"
"6331","Male","Married",30,"Policy Holder","Sedan","less than 20000",0,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1996","All Perils","USA"
"6332","Male","Single",53,"Policy Holder","Utility","more than 69000",0,"700","more than 30","more than 30","more than 4","more than 7","No","No","External","3 to 5","1 vehicle","1996","All Perils","USA"
"6334","Female","Single",47,"Third Party","Sedan","less than 20000",0,"500","more than 30","more than 30","1","more than 7","No","No","External","more than 5","2 vehicles","1996","All Perils","USA"
"6335","Male","Married",64,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","more than 4","more than 7","No","No","External","3 to 5","1 vehicle","1994","Liability","USA"
"6336","Male","Married",42,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","none","3 to 4","1994","All Perils","USA"
"6337","Male","Married",32,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","6 years","No","No","External","none","1 vehicle","1994","Collision","USA"
"6338","Male","Single",20,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","3 years","No","No","External","3 to 5","1 vehicle","1994","Collision","USA"
"6339","Male","Married",78,"Policy Holder","Utility","more than 69000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","none","1 vehicle","1996","All Perils","USA"
"6340","Male","Married",52,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","3 to 5","1 vehicle","1994","Liability","USA"
"6341","Male","Single",50,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","3 to 5","1 vehicle","1996","Liability","USA"
"6343","Male","Single",35,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","none","1 vehicle","1994","Collision","USA"
"6344","Male","Married",38,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","7 years","No","No","External","none","1 vehicle","1994","All Perils","USA"
"6345","Male","Single",38,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","7 years","No","No","External","more than 5","1 vehicle","1996","Collision","USA"
"6347","Male","Married",54,"Third Party","Sedan","less than 20000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","none","1 vehicle","1994","All Perils","USA"
"6349","Female","Single",28,"Policy Holder","Sport","more than 69000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1996","Liability","USA"
"6350","Male","Single",34,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","7 years","No","No","External","3 to 5","1 vehicle","1994","Collision","USA"
"6351","Male","Married",44,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","more than 5","1 vehicle","1996","Collision","USA"
"6352","Male","Single",28,"Policy Holder","Sport","more than 69000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","more than 5","1 vehicle","1995","Liability","USA"
"6353","Male","Single",52,"Policy Holder","Utility","more than 69000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","more than 5","1 vehicle","1996","All Perils","USA"
"6354","Male","Married",32,"Third Party","Sedan","less than 20000",0,"400","more than 30","more than 30","1","6 years","No","No","External","none","1 vehicle","1996","All Perils","USA"
"6355","Male","Married",51,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1996","Liability","USA"
"6356","Male","Married",40,"Policy Holder","Sedan","30000 to 39000",1,"500","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1994","All Perils","USA"
"6357","Male","Married",35,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","1 to 2","1 vehicle","1995","Liability","USA"
"6358","Male","Married",31,"Policy Holder","Sedan","less than 20000",1,"400","more than 30","more than 30","1","7 years","No","No","External","none","1 vehicle","1994","All Perils","USA"
"6359","Female","Married",50,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","7 years","No","No","External","more than 5","1 vehicle","1996","Collision","USA"
"6360","Male","Married",46,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","none","1 vehicle","1994","All Perils","USA"
"6361","Male","Married",63,"Policy Holder","Sedan","less than 20000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","1 to 2","1 vehicle","1995","All Perils","USA"
"6362","Male","Married",45,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1995","All Perils","USA"
"6364","Male","Married",46,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","more than 4","more than 7","No","No","External","none","1 vehicle","1994","Collision","USA"
"6365","Male","Single",30,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","more than 4","6 years","No","No","External","1 to 2","1 vehicle","1994","Collision","USA"
"6367","Male","Single",57,"Third Party","Sedan","less than 20000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","more than 5","1 vehicle","1995","All Perils","USA"
"6368","Male","Married",29,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1994","Collision","USA"
"6369","Male","Married",33,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","7 years","No","No","External","more than 5","1 vehicle","1994","All Perils","USA"
"6370","Male","Single",26,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","6 years","No","No","External","3 to 5","1 vehicle","1996","Liability","USA"
"6372","Male","Married",64,"Policy Holder","Sport","30000 to 39000",0,"500","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1995","Liability","USA"
"6376","Male","Married",54,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","1 to 2","1 vehicle","1995","Collision","USA"
"6377","Female","Married",39,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","1","5 years","No","No","External","none","3 to 4","1994","Liability","USA"
"6378","Male","Single",35,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","none","7 years","No","No","External","more than 5","1 vehicle","1995","Liability","USA"
"6379","Male","Married",50,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","3 to 5","1 vehicle","1996","Liability","USA"
"6381","Male","Married",38,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1996","Liability","USA"
"6382","Male","Married",44,"Policy Holder","Sedan","less than 20000",0,"400","more than 30","more than 30","1","7 years","No","No","External","none","1 vehicle","1996","All Perils","USA"
"6383","Male","Married",29,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","5 years","No","No","External","none","1 vehicle","1994","All Perils","USA"
"6385","Male","Single",28,"Policy Holder","Sport","more than 69000",0,"400","more than 30","more than 30","none","6 years","No","No","External","1 to 2","1 vehicle","1996","Liability","USA"
"6386","Male","Married",39,"Policy Holder","Utility","more than 69000",1,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","1 to 2","1 vehicle","1996","All Perils","USA"
"6387","Male","Married",41,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","Yes","No","External","none","1 vehicle","1995","Liability","USA"
"6388","Female","Single",34,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","3 years","No","No","External","more than 5","1 vehicle","1994","All Perils","USA"
"6389","Male","Married",34,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","1","5 years","No","No","External","1 to 2","1 vehicle","1995","Liability","USA"
"6391","Male","Married",35,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1996","All Perils","USA"
"6392","Male","Single",25,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","5 years","No","No","External","none","1 vehicle","1995","Collision","USA"
"6394","Male","Married",42,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1996","Liability","USA"
"6395","Male","Single",33,"Third Party","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","1 to 2","1 vehicle","1995","Liability","USA"
"6396","Male","Married",60,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","6 years","No","No","External","more than 5","2 vehicles","1994","Collision","USA"
"6397","Male","Married",32,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","6 years","No","No","External","none","1 vehicle","1996","All Perils","USA"
"6401","Male","Married",29,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","4 years","No","No","External","3 to 5","1 vehicle","1995","Collision","USA"
"6406","Male","Single",32,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1996","All Perils","USA"
"6407","Male","Married",42,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","none","1 vehicle","1994","Collision","USA"
"6409","Male","Single",28,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","1 to 2","1 vehicle","1994","Liability","USA"
"6410","Male","Married",65,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","more than 5","1 vehicle","1996","Liability","USA"
"6411","Male","Married",37,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","none","1 vehicle","1994","All Perils","USA"
"6412","Male","Single",25,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","2 years","No","No","External","1 to 2","1 vehicle","1994","All Perils","USA"
"6416","Male","Married",62,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","more than 5","1 vehicle","1994","Liability","USA"
"6419","Female","Single",29,"Policy Holder","Sport","less than 20000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","1 to 2","1 vehicle","1995","Liability","USA"
"6420","Male","Married",39,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","5 years","No","No","External","none","1 vehicle","1995","All Perils","USA"
"6421","Male","Married",26,"Policy Holder","Sedan","less than 20000",0,"400","more than 30","more than 30","1","5 years","No","No","External","none","1 vehicle","1995","All Perils","USA"
"6422","Male","Married",43,"Policy Holder","Sport","more than 69000",0,"400","more than 30","more than 30","more than 4","6 years","No","No","External","more than 5","1 vehicle","1994","Liability","USA"
"6423","Male","Single",30,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","4 years","No","No","External","none","1 vehicle","1996","Liability","USA"
"6424","Male","Married",43,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","more than 4","6 years","No","No","External","more than 5","1 vehicle","1994","Collision","USA"
"6425","Male","Married",34,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","7 years","No","No","External","3 to 5","1 vehicle","1994","All Perils","USA"
"6427","Male","Married",61,"Third Party","Sport","more than 69000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","more than 5","1 vehicle","1994","Liability","USA"
"6428","Male","Single",30,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","7 years","No","No","External","3 to 5","1 vehicle","1994","All Perils","USA"
"6429","Male","Married",52,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","1 to 2","1 vehicle","1994","Collision","USA"
"6430","Male","Married",64,"Third Party","Sport","40000 to 59000",0,"400","more than 30","more than 30","more than 4","more than 7","No","No","External","more than 5","1 vehicle","1995","Liability","USA"
"6431","Male","Single",43,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","more than 5","1 vehicle","1996","Liability","USA"
"6432","Male","Married",39,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","7 years","No","No","External","none","1 vehicle","1995","Collision","USA"
